@relation KTFGHU14_timestamp-weka.filters.supervised.attribute.NominalToBinary-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V

@attribute LocalId numeric
@attribute GlobalId numeric
@attribute Age numeric
@attribute Gender numeric
@attribute Region=SW numeric
@attribute Region=NE numeric
@attribute Region=SE numeric
@attribute Region=NW numeric
@attribute CityCode=M numeric
@attribute CityCode=S numeric
@attribute CityCode=D numeric
@attribute CityCode=G numeric
@attribute CityCode=B numeric
@attribute CityCode=K numeric
@attribute CityCode=P numeric
@attribute CityCode=R numeric
@attribute CityCode=F numeric
@attribute CityCode=Q numeric
@attribute CityCode=J numeric
@attribute CityCode=L numeric
@attribute CityCode=C numeric
@attribute CityCode=N numeric
@attribute CityCode=E numeric
@attribute CityCode=O numeric
@attribute CityCode=A numeric
@attribute CityCode=I numeric
@attribute CityCode=H numeric
@attribute TotalSpent numeric
@attribute TotalPur numeric
@attribute FirstPur numeric
@attribute LastPur numeric
@attribute NovelPur numeric
@attribute ChildPur numeric
@attribute YouthPur numeric
@attribute CookPur numeric
@attribute DiyPur numeric
@attribute RefPur numeric
@attribute ArtPur numeric
@attribute GeogPur numeric
@attribute ProvCook numeric
@attribute ProvAtlas numeric
@attribute ProvArt numeric
@attribute RelPur numeric
@attribute ProvPur {No,Yes}

@data

2528,20850,55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,15,1236985200,22,5,1,0,4,2,0,0,0,0,0,0,0,No
3819,31529,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,279,10,1351724400,2,3,1,0,0,0,0,0,0,0,0,0,0,No
3,46,61,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,10,1252015200,22,3,2,1,2,0,1,0,1,1,0,0,2,No
4,47,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,2,1394319600,2,1,0,0,0,0,0,0,0,0,0,0,0,No
1893,15687,61,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101,3,1363561200,14,2,1,0,0,0,0,0,0,0,0,0,0,No
3180,26215,47,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,7,1309644000,16,4,1,0,2,0,0,2,1,0,0,0,3,No
1874,15474,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,197,3,1304460000,32,1,0,1,1,0,0,0,1,2,0,1,4,No
9,81,41,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,252,4,1373925600,10,3,0,0,0,0,0,0,0,0,0,0,0,No
1657,13718,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,255,3,1395010800,2,2,0,0,0,0,0,0,0,0,0,0,0,No
14,112,45,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,135,3,1364425200,14,2,1,0,0,0,0,0,0,0,0,0,0,No
15,116,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213,4,1372716000,4,2,0,0,0,0,0,0,0,0,0,0,0,No
2802,23213,65,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,223,4,1393887600,2,3,0,0,0,0,0,1,0,0,0,0,1,No
18,126,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,81,3,1341093600,22,2,0,0,1,0,0,0,0,0,0,0,0,No
19,127,67,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,13,1300575600,10,3,0,0,2,2,1,1,0,0,0,0,1,No
2824,23366,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,259,4,1343340000,14,2,0,0,0,1,1,0,1,1,0,0,2,No
2999,24833,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,134,6,1305583200,12,1,1,1,1,0,0,1,0,0,0,0,1,No
23,193,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,2,1389049200,4,1,0,0,0,0,0,0,0,0,0,0,0,No
2482,20422,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119,1,1373752800,10,0,0,0,0,0,0,0,0,0,0,0,0,No
