LocalId,GlobalId,Age,Gender,Region,CityCode,TotalSpent,TotalPur,FirstPur,LastPur,NovelPur,ChildPur,YouthPur,CookPur,DiyPur,RefPur,ArtPur,GeogPur,ProvCook,ProvAtlas,ProvArt,RelPur,ProvPur
1,25,56,0,SW,M,297,5,1342389600.0,14,3,0,1,1,0,0,0,0,0,0,0,0,No
2,29,23,1,NE,S,128,4,1373666400.0,8,2,0,0,0,0,0,0,0,0,0,0,0,No
3,46,61,0,NE,D,138,10,1252015200.0,22,3,2,1,2,0,1,0,1,1,0,0,2,No
4,47,30,0,SW,G,228,2,1394319600.0,2,1,0,0,0,0,0,0,0,0,0,0,0,No
6,60,29,0,SE,B,145,4,1368136800.0,6,2,0,0,0,0,0,0,0,0,0,0,0,No
7,61,61,0,NE,K,190,3,1358031600.0,16,2,0,0,0,0,0,0,1,0,0,0,1,No
8,79,58,0,SW,P,187,4,1364252400.0,14,3,1,0,0,0,0,0,0,0,0,0,0,No
9,81,41,0,SE,R,252,4,1373925600.0,10,3,0,0,0,0,0,0,0,0,0,0,0,No
10,90,71,0,NE,F,240,5,1348092000.0,6,2,0,0,1,0,0,0,0,0,0,0,0,No
12,100,36,1,NE,D,320,4,1353106800.0,2,1,0,0,0,0,0,1,0,0,0,0,1,Yes
13,103,62,0,NE,Q,268,1,1389826800.0,4,0,0,0,0,0,0,0,0,0,0,0,0,Yes
14,112,45,1,SE,R,135,3,1364425200.0,14,2,1,0,0,0,0,0,0,0,0,0,0,No
15,116,37,0,NE,J,213,4,1372716000.0,4,2,0,0,0,0,0,0,0,0,0,0,0,No
17,125,66,0,NE,J,226,9,1327618800.0,14,3,2,1,2,0,0,1,0,1,0,0,2,No
18,126,16,1,NW,L,81,3,1341093600.0,22,2,0,0,1,0,0,0,0,0,0,0,0,No
19,127,67,0,SE,B,330,13,1300575600.0,10,3,0,0,2,2,1,1,0,0,0,0,1,No
20,145,37,0,NE,J,393,16,1268780400.0,12,5,3,0,2,0,0,2,3,0,0,0,5,Yes
21,164,65,0,SE,C,213,1,1395097200.0,2,0,0,0,0,0,0,0,0,0,0,0,0,No
22,169,62,0,SW,P,243,1,1373839200.0,10,0,0,0,0,0,0,0,0,0,0,0,0,No
23,193,48,0,SW,N,63,2,1389049200.0,4,1,0,0,0,0,0,0,0,0,0,0,0,No
24,201,64,0,NE,D,57,2,1394751600.0,2,1,0,0,0,0,0,0,0,0,0,0,0,No
25,202,50,1,SW,G,260,18,1205708400.0,34,7,0,2,3,5,0,1,0,0,0,0,1,No
26,208,59,0,NE,K,32,4,1316642400.0,26,2,1,0,0,0,0,0,1,0,0,0,1,No
27,214,32,1,NE,Q,177,2,1338156000.0,24,1,0,0,0,0,0,1,0,0,0,0,1,No
28,224,30,0,NE,E,33,2,1369432800.0,12,1,0,0,0,0,0,0,0,0,0,0,0,No
29,225,35,0,SE,C,172,3,1357513200.0,16,2,0,0,0,0,1,0,0,0,0,0,0,No
30,256,50,0,SW,M,133,4,1304287200.0,32,2,1,0,1,0,0,0,0,1,0,0,1,No
31,257,29,0,SE,B,194,5,1320447600.0,28,3,1,0,1,0,0,0,0,1,0,0,1,No
32,263,45,1,NE,Q,32,3,1362783600.0,14,2,0,0,0,0,0,1,0,0,0,0,1,No
33,265,44,0,SW,G,352,14,1226358000.0,12,3,4,1,3,1,0,1,0,2,0,1,4,No
34,266,56,0,NE,E,319,13,1316815200.0,12,5,2,1,1,1,0,0,1,0,0,0,1,No
35,267,62,0,NE,S,242,9,1315000800.0,10,4,0,0,2,0,1,1,0,0,0,0,1,No
36,275,32,0,NE,Q,78,3,1374703200.0,6,1,0,0,0,0,0,0,0,0,0,0,0,No
37,277,35,0,SE,R,223,13,1284933600.0,16,6,2,1,1,1,0,2,0,1,0,1,4,No
38,282,15,0,NE,S,285,16,1262991600.0,14,5,2,0,3,4,0,1,1,1,0,0,3,No
39,288,71,1,SW,G,312,14,1246831200.0,36,4,2,2,2,1,1,1,1,1,1,1,5,No
40,330,30,1,NW,L,211,15,1283292000.0,6,4,3,2,2,0,0,2,1,2,0,1,6,No
41,333,36,0,SE,B,280,5,1310767200.0,30,3,0,1,1,0,0,0,0,1,0,0,1,No
42,340,25,0,SW,O,320,4,1299020400.0,28,1,0,0,2,0,0,1,0,0,0,0,1,No
44,347,54,0,NE,F,105,10,1294268400.0,8,3,1,1,1,0,2,0,1,0,0,0,1,No
45,353,38,1,SE,C,317,5,1327532400.0,10,2,0,0,0,0,0,1,1,0,0,0,2,No
46,354,30,1,NE,E,49,5,1315346400.0,22,2,0,0,1,1,0,1,0,0,0,0,1,No
47,356,59,1,SE,A,189,13,1221429600.0,16,4,1,0,1,3,1,1,2,0,0,0,3,No
48,391,21,0,NW,L,143,12,1301180400.0,14,3,2,2,1,1,1,2,0,0,0,0,2,No
49,397,52,0,NE,I,254,2,1367791200.0,8,0,0,0,0,0,0,0,0,0,0,0,0,No
50,401,32,0,SW,H,355,8,1327618800.0,16,3,1,0,2,0,1,1,0,0,0,0,1,No
51,405,28,1,SW,P,43,3,1331766000.0,24,1,1,0,0,0,0,1,0,0,0,0,1,No
52,409,42,0,NE,I,233,11,1257894000.0,30,3,0,1,2,2,0,2,1,0,0,0,3,No
53,411,51,0,NE,I,210,4,1346968800.0,2,1,0,1,0,0,0,0,1,0,0,0,1,No
54,436,21,1,SW,G,310,10,1315346400.0,22,5,1,1,0,1,0,2,0,0,0,0,2,No
55,438,18,0,NE,J,378,10,1267830000.0,10,3,0,1,1,1,0,2,1,0,0,0,3,No
56,439,20,1,NE,I,305,13,1296169200.0,6,4,2,1,1,1,0,2,1,0,0,0,3,No
57,440,74,0,SW,G,458,17,1283724000.0,10,5,1,0,3,1,1,2,0,2,1,1,6,Yes
58,444,36,0,SE,A,235,2,1362783600.0,14,1,0,0,0,0,0,1,0,0,0,0,1,No
59,450,56,0,NE,S,148,8,1321743600.0,22,5,1,0,2,0,0,0,0,0,0,0,0,No
60,453,62,0,NE,F,154,10,1279144800.0,10,3,0,1,0,1,0,1,3,0,0,0,4,Yes
61,477,56,1,NE,I,123,3,1357167600.0,12,1,1,0,0,0,0,0,0,0,0,0,0,Yes
62,480,14,0,NE,Q,118,3,1374271200.0,8,1,0,0,0,0,0,0,0,0,0,0,0,No
63,484,67,0,NE,E,329,10,1305410400.0,12,2,0,1,0,0,1,0,1,0,0,0,1,No
64,505,63,0,NE,S,350,9,1358550000.0,4,4,0,0,2,0,0,0,0,1,0,0,1,No
65,506,65,0,SW,G,235,4,1363042800.0,14,3,0,0,1,0,0,0,0,0,0,0,0,No
66,553,50,0,NE,J,126,11,1274479200.0,16,3,2,1,1,2,0,0,2,1,0,0,3,No
67,557,26,1,SE,R,274,4,1295823600.0,34,2,1,0,0,1,0,0,0,0,0,0,0,No
68,560,60,0,SW,N,299,6,1331247600.0,12,3,0,0,0,0,0,0,2,0,0,0,2,No
69,565,27,1,NE,Q,294,5,1347141600.0,10,2,0,1,0,0,1,0,0,0,0,0,0,No
70,567,62,0,NE,K,135,12,1242511200.0,16,4,3,1,0,1,0,2,1,0,0,2,5,No
71,579,70,1,NE,F,230,4,1363474800.0,10,2,1,0,0,0,0,0,0,0,0,0,0,No
72,582,35,0,NE,F,140,1,1395961200.0,2,0,0,0,0,0,0,0,0,0,0,0,0,Yes
73,585,21,0,NE,D,307,13,1279749600.0,24,4,3,2,0,2,2,0,0,0,0,0,0,No
74,592,28,0,NE,Q,201,2,1378677600.0,8,1,0,0,0,0,0,0,0,0,0,0,0,No
76,609,62,0,NE,K,112,1,1305842400.0,36,0,0,0,1,0,0,0,0,0,0,0,0,No
77,612,40,1,SW,M,277,4,1362092400.0,14,3,0,0,1,0,0,0,0,0,0,0,0,No
78,619,33,0,NE,D,49,3,1363820400.0,10,1,0,0,0,1,0,0,0,0,0,0,0,No
79,625,56,0,NE,E,149,6,1353106800.0,6,3,0,0,0,0,1,0,0,0,0,0,0,No
80,633,34,0,NE,E,294,4,1320706800.0,24,2,0,0,1,0,1,0,0,0,0,0,0,No
