@relation KTFGHU14_timestamp-weka.filters.supervised.attribute.NominalToBinary-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement

@attribute LocalId numeric
@attribute GlobalId numeric
@attribute Age numeric
@attribute Gender numeric
@attribute Region=SW numeric
@attribute Region=NE numeric
@attribute Region=SE numeric
@attribute Region=NW numeric
@attribute CityCode=M numeric
@attribute CityCode=S numeric
@attribute CityCode=D numeric
@attribute CityCode=G numeric
@attribute CityCode=B numeric
@attribute CityCode=K numeric
@attribute CityCode=P numeric
@attribute CityCode=R numeric
@attribute CityCode=F numeric
@attribute CityCode=Q numeric
@attribute CityCode=J numeric
@attribute CityCode=L numeric
@attribute CityCode=C numeric
@attribute CityCode=N numeric
@attribute CityCode=E numeric
@attribute CityCode=O numeric
@attribute CityCode=A numeric
@attribute CityCode=I numeric
@attribute CityCode=H numeric
@attribute TotalSpent numeric
@attribute TotalPur numeric
@attribute FirstPur numeric
@attribute LastPur numeric
@attribute NovelPur numeric
@attribute ChildPur numeric
@attribute YouthPur numeric
@attribute CookPur numeric
@attribute DiyPur numeric
@attribute RefPur numeric
@attribute ArtPur numeric
@attribute GeogPur numeric
@attribute ProvCook numeric
@attribute ProvAtlas numeric
@attribute ProvArt numeric
@attribute RelPur numeric
@attribute ProvPur {No,Yes}

@data

1327,11045,71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,1362610800,14,2,0,0,1,0,0,0,0,0,0,0,0,No
2255,18546,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,326,6,1335909600,20,4,0,0,1,0,0,0,1,0,0,0,1,No
1920,15896,68,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,3,1337896800,24,2,0,0,1,0,0,0,0,1,0,0,1,No
444,3989,56,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,3,1336428000,16,1,1,0,1,0,0,0,0,1,0,0,1,No
3750,31152,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,272,5,1315000800,26,3,0,0,1,0,0,0,0,0,0,0,0,No
1067,8927,32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5,1358031600,12,3,1,0,0,0,0,0,0,0,0,0,0,No
3155,26038,64,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,10,1353193200,4,3,1,0,1,0,0,0,0,0,0,0,0,No
2052,16969,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,3,1357513200,16,2,0,0,0,0,0,0,0,0,0,0,0,No
1378,11504,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,232,4,1332885600,26,3,0,0,1,0,0,0,0,0,0,0,0,No
1844,15186,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,7,1353452400,10,3,1,0,1,0,0,0,0,0,0,0,0,No
920,7662,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,305,4,1374876000,2,2,0,0,0,0,0,0,0,0,0,0,0,No
2245,18489,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,274,3,1373580000,10,2,0,0,0,0,0,0,0,0,0,0,0,No
835,6990,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,3,1394146800,2,2,0,0,0,0,0,0,0,0,0,0,0,No
635,5724,47,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,16,1247868000,26,5,2,1,4,0,1,1,2,0,0,0,3,No
2149,17745,57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,8,1299106800,12,2,0,0,1,1,1,0,1,0,0,0,1,No
2542,20984,33,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,9,1306360800,6,3,0,0,2,0,0,0,1,0,0,0,1,No
2757,22788,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,3,1358118000,16,2,0,0,1,0,0,1,0,0,0,0,1,No
233,2065,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,234,4,1372802400,10,3,0,0,0,0,0,0,0,0,0,0,0,No
168,1392,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,1,1394492400,2,0,0,0,0,0,0,0,0,0,0,0,0,No
414,3693,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,1358895600,10,2,0,0,1,0,0,0,0,0,0,0,0,No
3292,27154,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,146,9,1306101600,16,2,2,0,1,2,1,0,0,0,0,0,0,No
3973,32732,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,130,3,1363820400,14,2,0,0,1,0,0,0,1,0,0,0,1,No
2398,19645,51,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,153,2,1310594400,30,0,1,0,0,0,1,0,1,0,0,0,1,No
3768,31237,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,9,1253138400,34,2,1,1,3,0,1,0,0,0,0,0,0,No
3662,30442,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,420,19,1217196000,16,8,4,0,3,1,1,0,6,0,0,0,6,No
2137,17661,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,5,1358550000,8,3,0,0,0,1,0,0,0,0,0,0,0,No
2811,23286,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,171,1,1368396000,12,0,0,0,0,0,0,0,0,1,0,0,1,No
1511,12562,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,177,1,1395529200,2,0,0,0,0,0,0,0,0,0,0,0,0,No
599,5424,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278,4,1332885600,26,3,0,1,0,0,0,0,0,0,0,0,0,No
3084,25499,58,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,270,4,1383778800,2,2,0,0,0,0,0,0,0,0,0,0,0,No
3389,28035,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,334,13,1194562800,16,1,2,0,1,2,0,0,0,0,0,0,0,No
2796,23129,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129,3,1374444000,10,2,0,0,0,0,0,0,0,0,0,0,0,No
124,1082,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,252,4,1373061600,10,3,0,0,0,0,0,0,0,0,0,0,0,No
1952,16150,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,286,14,1225926000,14,4,2,2,3,1,0,0,0,0,0,0,0,No
782,6700,53,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,342,5,1343167200,8,1,1,0,1,1,0,0,0,1,0,0,1,No
1551,12859,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,124,2,1367791200,10,0,0,0,0,0,0,0,0,1,0,0,1,No
3587,29790,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,2,1380319200,8,1,0,0,0,0,0,1,0,0,0,0,1,No
2460,20198,57,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,170,2,1309989600,34,1,1,0,0,0,0,0,1,0,0,0,1,No
1084,9088,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,393,11,1332370800,2,4,1,0,0,0,0,2,0,0,0,0,2,No
3056,25321,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123,8,1341439200,8,3,0,0,0,2,0,0,0,0,0,0,0,No
679,5982,42,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,2,1362524400,14,1,0,1,0,0,0,0,0,0,0,0,0,No
2344,19245,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,235,13,1280181600,16,3,3,1,3,0,1,1,1,0,0,1,3,No
