

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.988
2,1:No,1:No,,0.988
3,1:No,1:No,,0.846
4,1:No,1:No,,0.987
5,1:No,1:No,,0.98
6,1:No,1:No,,0.941
7,1:No,1:No,,0.957
8,1:No,1:No,,0.929
9,1:No,1:No,,0.974
10,1:No,1:No,,0.939
11,1:No,1:No,,0.986
12,1:No,1:No,,0.924
13,1:No,1:No,,0.991
14,1:No,1:No,,0.989
15,1:No,1:No,,0.957
16,1:No,1:No,,0.989
17,1:No,1:No,,0.873
18,1:No,1:No,,0.916
19,1:No,1:No,,0.84
20,1:No,1:No,,0.968
21,1:No,1:No,,0.995
22,1:No,1:No,,0.942
23,1:No,1:No,,0.99
24,1:No,1:No,,0.959
25,1:No,1:No,,0.918
26,1:No,1:No,,0.931
27,1:No,1:No,,0.941
28,1:No,1:No,,0.937
29,1:No,1:No,,0.963
30,1:No,1:No,,0.993
31,1:No,1:No,,0.986
32,1:No,1:No,,0.951
33,1:No,1:No,,0.985
34,1:No,1:No,,0.896
35,1:No,1:No,,0.991
36,1:No,1:No,,0.978
37,1:No,1:No,,0.963
38,1:No,1:No,,0.966
39,1:No,1:No,,0.979
40,1:No,1:No,,0.962
41,1:No,1:No,,0.955
42,1:No,1:No,,0.995
43,1:No,1:No,,0.991
44,1:No,1:No,,0.995
45,1:No,1:No,,0.952
46,1:No,1:No,,0.974
47,1:No,1:No,,0.987
48,1:No,1:No,,0.995
49,1:No,1:No,,0.995
50,1:No,1:No,,0.926
51,1:No,1:No,,0.99
52,1:No,1:No,,0.852
53,1:No,1:No,,0.98
54,1:No,1:No,,0.97
55,1:No,1:No,,0.87
56,1:No,1:No,,0.843
57,1:No,1:No,,0.994
58,1:No,1:No,,0.982
59,1:No,1:No,,0.984
60,1:No,1:No,,0.917
61,1:No,1:No,,0.948
62,1:No,1:No,,0.974
63,1:No,1:No,,0.962
64,1:No,1:No,,0.932
65,1:No,1:No,,0.927
66,1:No,1:No,,0.937
67,1:No,1:No,,0.987
68,1:No,1:No,,0.879
69,1:No,1:No,,0.935
70,1:No,1:No,,0.727
71,1:No,1:No,,0.904
72,1:No,1:No,,0.983
73,1:No,1:No,,0.958
74,1:No,1:No,,0.924
75,1:No,1:No,,0.99
76,1:No,1:No,,0.976
77,1:No,1:No,,0.936
78,1:No,1:No,,0.905
79,1:No,1:No,,0.982
80,1:No,1:No,,0.791
81,1:No,1:No,,0.99
82,1:No,1:No,,0.946
83,1:No,1:No,,0.948
84,1:No,1:No,,0.908
85,1:No,1:No,,0.979
86,1:No,1:No,,0.992
87,1:No,1:No,,0.939
88,1:No,1:No,,0.751
89,1:No,1:No,,0.993
90,1:No,1:No,,0.987
91,1:No,1:No,,0.95
92,1:No,1:No,,0.962
93,1:No,1:No,,0.945
94,1:No,1:No,,0.989
95,1:No,1:No,,0.916
96,1:No,1:No,,0.974
97,1:No,1:No,,0.981
98,1:No,1:No,,0.931
99,1:No,1:No,,0.977
100,1:No,1:No,,0.977
101,1:No,1:No,,0.993
102,1:No,1:No,,0.936
103,1:No,1:No,,0.919
104,1:No,1:No,,0.948
105,1:No,1:No,,0.974
106,1:No,1:No,,0.946
107,1:No,1:No,,0.827
108,1:No,1:No,,0.755
109,1:No,1:No,,0.967
110,1:No,1:No,,0.98
111,1:No,1:No,,0.959
112,1:No,1:No,,0.781
113,1:No,1:No,,0.983
114,1:No,1:No,,0.99
115,1:No,1:No,,0.906
116,1:No,1:No,,0.886
117,1:No,1:No,,0.989
118,1:No,1:No,,0.976
119,1:No,1:No,,0.978
120,1:No,1:No,,0.82
121,1:No,1:No,,0.965
122,1:No,1:No,,0.777
123,1:No,1:No,,0.99
124,1:No,1:No,,0.956
125,1:No,1:No,,0.982
126,1:No,1:No,,0.967
127,1:No,1:No,,0.979
128,1:No,1:No,,0.996
129,1:No,1:No,,0.973
130,1:No,1:No,,0.99
131,1:No,1:No,,0.961
132,1:No,1:No,,0.779
133,1:No,1:No,,0.942
134,1:No,1:No,,0.823
135,1:No,1:No,,0.985
136,1:No,1:No,,0.969
137,1:No,1:No,,0.868
138,1:No,1:No,,0.851
139,1:No,1:No,,0.907
140,1:No,1:No,,0.979
141,1:No,1:No,,0.961
142,1:No,1:No,,0.968
143,1:No,1:No,,0.96
144,1:No,1:No,,0.945
145,1:No,1:No,,0.853
146,1:No,1:No,,0.986
147,1:No,1:No,,0.959
148,1:No,1:No,,0.892
149,1:No,1:No,,0.89
150,1:No,1:No,,0.966
151,1:No,1:No,,0.957
152,1:No,1:No,,0.875
153,1:No,1:No,,0.981
154,1:No,1:No,,0.946
155,1:No,1:No,,0.989
156,1:No,1:No,,0.919
157,1:No,1:No,,0.93
158,1:No,1:No,,0.979
159,1:No,1:No,,0.843
160,1:No,1:No,,0.98
161,1:No,1:No,,0.786
162,1:No,1:No,,0.943
163,1:No,1:No,,0.833
164,1:No,1:No,,0.883
165,1:No,1:No,,0.995
166,1:No,1:No,,0.923
167,1:No,1:No,,0.942
168,1:No,1:No,,0.957
169,1:No,1:No,,0.925
170,1:No,1:No,,0.921
171,1:No,1:No,,0.945
172,1:No,1:No,,0.912
173,1:No,1:No,,0.978
174,1:No,1:No,,0.952
175,1:No,1:No,,0.959
176,1:No,1:No,,0.974
