

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.992
2,1:No,1:No,,0.999
3,1:No,1:No,,0.944
4,1:No,1:No,,0.995
5,1:No,1:No,,0.998
6,1:No,1:No,,0.984
7,1:No,1:No,,0.996
8,1:No,1:No,,0.974
9,1:No,1:No,,0.992
10,1:No,1:No,,0.997
11,1:No,1:No,,0.998
12,1:No,1:No,,0.994
13,1:No,1:No,,0.998
14,1:No,1:No,,1
15,1:No,1:No,,0.997
16,1:No,1:No,,1
17,1:No,1:No,,0.984
18,1:No,1:No,,0.996
19,1:No,1:No,,0.98
20,1:No,1:No,,0.997
21,1:No,1:No,,0.999
22,1:No,1:No,,0.997
23,1:No,1:No,,0.998
24,1:No,1:No,,0.997
25,1:No,1:No,,0.979
26,1:No,1:No,,0.993
27,1:No,1:No,,0.991
28,1:No,1:No,,0.981
29,1:No,1:No,,0.996
30,1:No,1:No,,0.999
31,1:No,1:No,,0.998
32,1:No,1:No,,0.991
33,1:No,1:No,,0.998
34,1:No,1:No,,0.966
35,1:No,1:No,,0.999
36,1:No,1:No,,0.999
37,1:No,1:No,,0.995
38,1:No,1:No,,0.999
39,1:No,1:No,,0.996
40,1:No,1:No,,0.997
41,1:No,1:No,,0.998
42,1:No,1:No,,1
43,1:No,1:No,,0.999
44,1:No,1:No,,0.999
45,1:No,1:No,,0.995
46,1:No,1:No,,0.992
47,1:No,1:No,,0.999
48,1:No,1:No,,1
49,1:No,1:No,,1
50,1:No,1:No,,0.993
51,1:No,1:No,,0.999
52,1:No,1:No,,0.959
53,1:No,1:No,,0.995
54,1:No,1:No,,0.984
55,1:No,1:No,,0.976
56,1:No,1:No,,0.973
57,1:No,1:No,,1
58,1:No,1:No,,0.997
59,1:No,1:No,,0.999
60,1:No,1:No,,0.995
61,1:No,1:No,,0.988
62,1:No,1:No,,0.999
63,1:No,1:No,,0.996
64,1:No,1:No,,0.98
65,1:No,1:No,,0.987
66,1:No,1:No,,0.984
67,1:No,1:No,,0.998
68,1:No,1:No,,0.988
69,1:No,1:No,,0.977
70,1:No,1:No,,0.783
71,1:No,1:No,,0.983
72,1:No,1:No,,0.999
73,1:No,1:No,,0.971
74,1:No,1:No,,0.958
75,1:No,1:No,,0.999
76,1:No,1:No,,0.997
77,1:No,1:No,,0.995
78,1:No,1:No,,0.976
79,1:No,1:No,,0.996
80,1:No,1:No,,0.941
81,1:No,1:No,,0.999
82,1:No,1:No,,0.979
83,1:No,1:No,,0.997
84,1:No,1:No,,0.974
85,1:No,1:No,,0.999
86,1:No,1:No,,0.999
87,1:No,1:No,,0.994
88,1:No,1:No,,0.887
89,1:No,1:No,,1
90,1:No,1:No,,0.999
91,1:No,1:No,,0.987
92,1:No,1:No,,0.996
93,1:No,1:No,,0.997
94,1:No,1:No,,0.999
95,1:No,1:No,,0.986
96,1:No,1:No,,0.998
97,1:No,1:No,,0.999
98,1:No,1:No,,0.993
99,1:No,1:No,,0.997
100,1:No,1:No,,0.998
101,1:No,1:No,,1
102,1:No,1:No,,0.991
103,1:No,1:No,,0.994
104,1:No,1:No,,0.987
105,1:No,1:No,,0.995
106,1:No,1:No,,0.964
107,1:No,1:No,,0.971
108,1:No,1:No,,0.881
109,1:No,1:No,,0.992
110,1:No,1:No,,0.998
111,1:No,1:No,,0.997
112,1:No,1:No,,0.905
113,1:No,1:No,,0.999
114,1:No,1:No,,0.999
115,1:No,1:No,,0.972
116,1:No,1:No,,0.986
117,1:No,1:No,,0.999
118,1:No,1:No,,0.995
119,1:No,1:No,,0.999
120,1:No,1:No,,0.93
121,1:No,1:No,,0.996
122,1:No,1:No,,0.925
123,1:No,1:No,,0.999
124,1:No,1:No,,0.995
125,1:No,1:No,,0.999
126,1:No,1:No,,0.997
127,1:No,1:No,,0.999
128,1:No,1:No,,1
129,1:No,1:No,,0.998
130,1:No,1:No,,0.999
131,1:No,1:No,,0.992
132,1:No,1:No,,0.907
133,1:No,1:No,,0.975
134,1:No,1:No,,0.95
135,1:No,1:No,,0.998
136,1:No,1:No,,0.997
137,1:No,1:No,,0.96
138,1:No,1:No,,0.962
139,1:No,1:No,,0.994
140,1:No,1:No,,0.994
141,1:No,1:No,,0.997
142,1:No,1:No,,0.998
143,1:No,1:No,,0.992
144,1:No,1:No,,0.992
145,1:No,1:No,,0.954
146,1:No,1:No,,0.998
147,1:No,1:No,,0.998
148,1:No,1:No,,0.956
149,1:No,1:No,,0.97
150,1:No,1:No,,0.998
151,1:No,1:No,,0.994
152,1:No,1:No,,0.963
153,1:No,1:No,,0.999
154,1:No,1:No,,0.978
155,1:No,1:No,,1
156,1:No,1:No,,0.968
157,1:No,1:No,,0.961
158,1:No,1:No,,0.997
159,1:No,1:No,,0.937
160,1:No,1:No,,0.999
161,1:No,1:No,,0.936
162,1:No,1:No,,0.989
163,1:No,1:No,,0.981
164,1:No,1:No,,0.964
165,1:No,1:No,,1
166,1:No,1:No,,0.997
167,1:No,1:No,,0.994
168,1:No,1:No,,0.978
169,1:No,1:No,,0.989
170,1:No,1:No,,0.985
171,1:No,1:No,,0.993
172,1:No,1:No,,0.968
173,1:No,1:No,,0.999
174,1:No,1:No,,0.984
175,1:No,1:No,,0.998
176,1:No,1:No,,0.997
177,1:No,1:No,,0.998
178,1:No,1:No,,0.975
179,1:No,1:No,,0.959
180,1:No,1:No,,0.992
181,1:No,1:No,,1
182,1:No,1:No,,0.995
183,1:No,1:No,,0.978
184,1:No,1:No,,0.994
185,1:No,1:No,,0.982
186,1:No,1:No,,0.999
187,1:No,1:No,,0.934
188,1:No,1:No,,0.999
189,1:No,1:No,,0.998
190,1:No,1:No,,0.995
191,1:No,1:No,,0.948
192,1:No,1:No,,0.996
193,1:No,1:No,,0.988
194,1:No,1:No,,0.991
195,1:No,1:No,,0.954
196,1:No,1:No,,0.999
197,1:No,1:No,,0.999
198,1:No,1:No,,0.999
199,1:No,1:No,,0.939
200,1:No,1:No,,0.949
201,1:No,1:No,,1
202,1:No,1:No,,0.971
203,1:No,1:No,,1
204,1:No,1:No,,1
205,1:No,1:No,,1
206,1:No,1:No,,0.973
207,1:No,1:No,,0.977
208,1:No,1:No,,0.999
209,1:No,1:No,,0.993
210,1:No,1:No,,0.995
211,1:No,1:No,,0.97
212,1:No,1:No,,0.972
213,1:No,1:No,,0.995
214,1:No,1:No,,0.991
215,1:No,1:No,,0.998
216,1:No,1:No,,0.999
217,1:No,1:No,,0.999
218,1:No,1:No,,0.996
219,1:No,1:No,,0.978
220,1:No,1:No,,1
221,1:No,1:No,,0.999
222,1:No,1:No,,0.956
223,1:No,1:No,,0.996
224,1:No,1:No,,0.99
225,1:No,1:No,,0.999
226,1:No,1:No,,0.994
227,1:No,1:No,,0.987
228,1:No,1:No,,0.989
229,1:No,1:No,,0.981
230,1:No,1:No,,0.971
231,1:No,1:No,,0.999
232,1:No,1:No,,0.982
233,1:No,1:No,,1
234,1:No,1:No,,0.968
235,1:No,1:No,,0.972
236,1:No,1:No,,0.994
237,1:No,1:No,,0.999
238,1:No,1:No,,0.983
239,1:No,1:No,,0.999
240,1:No,1:No,,0.997
241,1:No,1:No,,0.999
242,1:No,1:No,,0.999
243,1:No,1:No,,0.998
244,1:No,1:No,,0.999
245,1:No,1:No,,0.964
246,1:No,1:No,,0.999
247,1:No,1:No,,0.988
248,1:No,1:No,,0.998
249,1:No,1:No,,0.972
250,1:No,1:No,,0.967
251,1:No,1:No,,0.88
252,1:No,1:No,,0.999
253,1:No,1:No,,0.985
254,1:No,1:No,,0.994
255,1:No,1:No,,0.992
256,1:No,1:No,,0.996
257,1:No,1:No,,0.993
258,1:No,1:No,,0.999
259,1:No,1:No,,0.97
260,1:No,1:No,,0.936
261,1:No,1:No,,0.996
262,1:No,1:No,,0.994
263,1:No,1:No,,1
264,1:No,1:No,,0.998
265,1:No,1:No,,0.996
266,1:No,1:No,,0.996
267,1:No,1:No,,0.994
268,1:No,1:No,,0.998
269,1:No,1:No,,0.959
270,1:No,1:No,,0.963
271,1:No,1:No,,0.983
272,1:No,1:No,,0.999
273,1:No,1:No,,0.999
274,1:No,1:No,,0.999
275,1:No,1:No,,0.999
276,1:No,1:No,,0.95
277,1:No,1:No,,0.999
278,1:No,1:No,,0.999
279,1:No,1:No,,0.993
280,1:No,1:No,,0.999
281,1:No,1:No,,0.995
282,1:No,1:No,,0.998
283,1:No,1:No,,0.933
284,1:No,1:No,,0.997
285,1:No,1:No,,0.985
286,1:No,1:No,,0.996
287,1:No,1:No,,0.976
288,1:No,1:No,,0.997
289,1:No,1:No,,0.988
290,1:No,1:No,,0.98
291,1:No,1:No,,0.999
292,1:No,1:No,,0.998
293,1:No,1:No,,0.998
294,1:No,1:No,,0.947
295,1:No,1:No,,0.999
296,1:No,1:No,,0.997
297,1:No,1:No,,0.969
298,1:No,1:No,,0.999
299,1:No,1:No,,0.995
300,1:No,1:No,,0.998
301,1:No,1:No,,0.966
302,1:No,1:No,,0.955
303,1:No,1:No,,0.988
304,1:No,1:No,,0.998
305,1:No,1:No,,0.988
306,1:No,1:No,,0.997
307,1:No,1:No,,0.952
308,1:No,1:No,,0.975
309,1:No,1:No,,0.938
310,1:No,1:No,,0.999
311,1:No,1:No,,0.985
312,1:No,1:No,,0.997
313,1:No,1:No,,0.909
314,1:No,1:No,,0.997
315,1:No,1:No,,0.981
316,1:No,1:No,,0.998
317,1:No,1:No,,0.988
318,1:No,1:No,,0.886
319,1:No,1:No,,0.997
320,1:No,1:No,,0.945
321,1:No,1:No,,0.951
322,1:No,1:No,,0.994
323,1:No,1:No,,0.992
324,1:No,1:No,,0.999
325,1:No,1:No,,0.998
326,1:No,1:No,,0.978
327,1:No,1:No,,0.999
328,1:No,1:No,,0.97
329,1:No,1:No,,0.997
330,1:No,1:No,,0.998
331,1:No,1:No,,0.7
332,1:No,1:No,,0.986
333,1:No,1:No,,1
334,1:No,1:No,,0.986
335,1:No,1:No,,0.994
336,1:No,1:No,,0.998
