@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
63,0,684,0,1,1,0.084337,1,0.915663,0.155556,1,1,0
63,0,683,1,0.998538,1,0.08445,1,0.91555,0.155748,0.998661,1.00134,0
63,0,682,2,0.997076,1,0.084564,1,0.915436,0.155941,0.997323,1.002685,0
63,0,681,3,0.995614,1,0.084677,1,0.915323,0.156134,0.995984,1.004032,0
63,0,680,4,0.994152,1,0.084791,1,0.915209,0.156328,0.994645,1.005384,0
62,1,680,4,0.994152,0.984127,0.083558,0.984127,0.916442,0.154037,0.993307,0.990759,0
62,1,679,5,0.99269,0.984127,0.083671,0.984127,0.916329,0.154229,0.991968,0.992096,0
62,1,678,6,0.991228,0.984127,0.083784,0.984127,0.916216,0.154421,0.990629,0.993436,0
62,1,677,7,0.989766,0.984127,0.083897,0.984127,0.916103,0.154613,0.98929,0.994781,0
62,1,676,8,0.988304,0.984127,0.084011,0.984127,0.915989,0.154806,0.987952,0.996129,0
62,1,675,9,0.986842,0.984127,0.084125,0.984127,0.915875,0.155,0.986613,0.99748,0
62,1,674,10,0.98538,0.984127,0.084239,0.984127,0.915761,0.155194,0.985274,0.998835,0
62,1,673,11,0.983918,0.984127,0.084354,0.984127,0.915646,0.155388,0.983936,1.000194,0
62,1,672,12,0.982456,0.984127,0.084469,0.984127,0.915531,0.155583,0.982597,1.001557,0
62,1,671,13,0.980994,0.984127,0.084584,0.984127,0.915416,0.155779,0.981258,1.002923,0
62,1,670,14,0.979532,0.984127,0.084699,0.984127,0.915301,0.155975,0.97992,1.004294,0
62,1,669,15,0.97807,0.984127,0.084815,0.984127,0.915185,0.156171,0.978581,1.005667,0
62,1,668,16,0.976608,0.984127,0.084932,0.984127,0.915068,0.156368,0.977242,1.007045,0
62,1,667,17,0.975146,0.984127,0.085048,0.984127,0.914952,0.156566,0.975904,1.008426,0
62,1,666,18,0.973684,0.984127,0.085165,0.984127,0.914835,0.156764,0.974565,1.009812,0
62,1,665,19,0.972222,0.984127,0.085282,0.984127,0.914718,0.156962,0.973226,1.011201,0
62,1,664,20,0.97076,0.984127,0.085399,0.984127,0.914601,0.157161,0.971888,1.012593,0
62,1,663,21,0.969298,0.984127,0.085517,0.984127,0.914483,0.15736,0.970549,1.01399,0
62,1,662,22,0.967836,0.984127,0.085635,0.984127,0.914365,0.15756,0.96921,1.015391,0
62,1,661,23,0.966374,0.984127,0.085754,0.984127,0.914246,0.157761,0.967871,1.016795,0
62,1,660,24,0.964912,0.984127,0.085873,0.984127,0.914127,0.157962,0.966533,1.018203,0
62,1,659,25,0.96345,0.984127,0.085992,0.984127,0.914008,0.158163,0.965194,1.019616,0
62,1,658,26,0.961988,0.984127,0.086111,0.984127,0.913889,0.158365,0.963855,1.021032,0
62,1,657,27,0.960526,0.984127,0.086231,0.984127,0.913769,0.158568,0.962517,1.022452,0
62,1,656,28,0.959064,0.984127,0.086351,0.984127,0.913649,0.158771,0.961178,1.023876,0
62,1,655,29,0.957602,0.984127,0.086471,0.984127,0.913529,0.158974,0.959839,1.025304,0
62,1,654,30,0.95614,0.984127,0.086592,0.984127,0.913408,0.159178,0.958501,1.026736,0
62,1,653,31,0.954678,0.984127,0.086713,0.984127,0.913287,0.159383,0.957162,1.028172,0
62,1,652,32,0.953216,0.984127,0.086835,0.984127,0.913165,0.159588,0.955823,1.029612,0
62,1,651,33,0.951754,0.984127,0.086957,0.984127,0.913043,0.159794,0.954485,1.031056,0
62,1,650,34,0.950292,0.984127,0.087079,0.984127,0.912921,0.16,0.953146,1.032504,0
62,1,649,35,0.94883,0.984127,0.087201,0.984127,0.912799,0.160207,0.951807,1.033956,0
61,2,649,35,0.94883,0.968254,0.085915,0.968254,0.914085,0.157827,0.950469,1.018712,0
61,2,648,36,0.947368,0.968254,0.086037,0.968254,0.913963,0.158031,0.94913,1.020149,0
61,2,647,37,0.945906,0.968254,0.086158,0.968254,0.913842,0.158236,0.947791,1.02159,0
61,2,646,38,0.944444,0.968254,0.08628,0.968254,0.91372,0.158442,0.946452,1.023035,0
61,2,645,39,0.942982,0.968254,0.086402,0.968254,0.913598,0.158648,0.945114,1.024484,0
61,2,644,40,0.94152,0.968254,0.086525,0.968254,0.913475,0.158854,0.943775,1.025937,0
61,2,643,41,0.940058,0.968254,0.086648,0.968254,0.913352,0.159061,0.942436,1.027394,0
61,2,642,42,0.938596,0.968254,0.086771,0.968254,0.913229,0.159269,0.941098,1.028856,0
61,2,641,43,0.937135,0.968254,0.086895,0.968254,0.913105,0.159477,0.939759,1.030322,0
61,2,640,44,0.935673,0.968254,0.087019,0.968254,0.912981,0.159686,0.93842,1.031791,0
61,2,639,45,0.934211,0.968254,0.087143,0.968254,0.912857,0.159895,0.937082,1.033265,0
61,2,638,46,0.932749,0.968254,0.087268,0.968254,0.912732,0.160105,0.935743,1.034744,0
61,2,637,47,0.931287,0.968254,0.087393,0.968254,0.912607,0.160315,0.934404,1.036226,0
61,2,636,48,0.929825,0.968254,0.087518,0.968254,0.912482,0.160526,0.933066,1.037713,0
61,2,635,49,0.928363,0.968254,0.087644,0.968254,0.912356,0.160738,0.931727,1.039204,0
61,2,634,50,0.926901,0.968254,0.08777,0.968254,0.91223,0.16095,0.930388,1.040699,0
61,2,633,51,0.925439,0.968254,0.087896,0.968254,0.912104,0.161162,0.92905,1.042198,0
61,2,632,52,0.923977,0.968254,0.088023,0.968254,0.911977,0.161376,0.927711,1.043702,0
61,2,631,53,0.922515,0.968254,0.08815,0.968254,0.91185,0.161589,0.926372,1.045211,0
61,2,630,54,0.921053,0.968254,0.088278,0.968254,0.911722,0.161804,0.925033,1.046723,0
61,2,629,55,0.919591,0.968254,0.088406,0.968254,0.911594,0.162019,0.923695,1.04824,0
61,2,628,56,0.918129,0.968254,0.088534,0.968254,0.911466,0.162234,0.922356,1.049762,0
61,2,627,57,0.916667,0.968254,0.088663,0.968254,0.911337,0.16245,0.921017,1.051287,0
61,2,626,58,0.915205,0.968254,0.088792,0.968254,0.911208,0.162667,0.919679,1.052818,0
61,2,625,59,0.913743,0.968254,0.088921,0.968254,0.911079,0.162884,0.91834,1.054352,0
61,2,624,60,0.912281,0.968254,0.089051,0.968254,0.910949,0.163102,0.917001,1.055892,0
61,2,623,61,0.910819,0.968254,0.089181,0.968254,0.910819,0.16332,0.915663,1.057435,0
60,3,623,61,0.910819,0.952381,0.087848,0.952381,0.912152,0.160858,0.914324,1.041623,0
60,3,622,62,0.909357,0.952381,0.087977,0.952381,0.912023,0.161074,0.912985,1.04315,0
60,3,621,63,0.907895,0.952381,0.088106,0.952381,0.911894,0.16129,0.911647,1.044682,0
60,3,620,64,0.906433,0.952381,0.088235,0.952381,0.911765,0.161507,0.910308,1.046218,0
60,3,619,65,0.904971,0.952381,0.088365,0.952381,0.911635,0.161725,0.908969,1.047759,0
60,3,618,66,0.903509,0.952381,0.088496,0.952381,0.911504,0.161943,0.907631,1.049305,0
60,3,617,67,0.902047,0.952381,0.088626,0.952381,0.911374,0.162162,0.906292,1.050855,0
60,3,616,68,0.900585,0.952381,0.088757,0.952381,0.911243,0.162382,0.904953,1.052409,0
60,3,615,69,0.899123,0.952381,0.088889,0.952381,0.911111,0.162602,0.903614,1.053968,0
60,3,614,70,0.897661,0.952381,0.089021,0.952381,0.910979,0.162822,0.902276,1.055532,0
60,3,613,71,0.896199,0.952381,0.089153,0.952381,0.910847,0.163043,0.900937,1.0571,0
60,3,612,72,0.894737,0.952381,0.089286,0.952381,0.910714,0.163265,0.899598,1.058673,0
59,4,612,72,0.894737,0.936508,0.087928,0.936508,0.912072,0.160763,0.89826,1.04258,0
59,4,611,73,0.893275,0.936508,0.08806,0.936508,0.91194,0.160982,0.896921,1.044136,0
59,4,610,74,0.891813,0.936508,0.088191,0.936508,0.911809,0.161202,0.895582,1.045697,0
59,4,609,75,0.890351,0.936508,0.088323,0.936508,0.911677,0.161423,0.894244,1.047263,0
59,4,608,76,0.888889,0.936508,0.088456,0.936508,0.911544,0.161644,0.892905,1.048833,0
59,4,607,77,0.887427,0.936508,0.088589,0.936508,0.911411,0.161866,0.891566,1.050408,0
59,4,606,78,0.885965,0.936508,0.088722,0.936508,0.911278,0.162088,0.890228,1.051987,0
59,4,605,79,0.884503,0.936508,0.088855,0.936508,0.911145,0.162311,0.888889,1.053571,0
59,4,604,80,0.883041,0.936508,0.088989,0.936508,0.911011,0.162534,0.88755,1.055161,0
59,4,603,81,0.881579,0.936508,0.089124,0.936508,0.910876,0.162759,0.886212,1.056754,0
59,4,602,82,0.880117,0.936508,0.089259,0.936508,0.910741,0.162983,0.884873,1.058353,0
59,4,601,83,0.878655,0.936508,0.089394,0.936508,0.910606,0.163209,0.883534,1.059957,0
59,4,600,84,0.877193,0.936508,0.08953,0.936508,0.91047,0.163435,0.882195,1.061565,0
59,4,599,85,0.875731,0.936508,0.089666,0.936508,0.910334,0.163662,0.880857,1.063178,0
59,4,598,86,0.874269,0.936508,0.089802,0.936508,0.910198,0.163889,0.879518,1.064797,0
59,4,597,87,0.872807,0.936508,0.089939,0.936508,0.910061,0.164117,0.878179,1.06642,0
59,4,596,88,0.871345,0.936508,0.090076,0.936508,0.909924,0.164345,0.876841,1.068048,0
59,4,595,89,0.869883,0.936508,0.090214,0.936508,0.909786,0.164575,0.875502,1.069681,0
59,4,594,90,0.868421,0.936508,0.090352,0.936508,0.909648,0.164804,0.874163,1.071319,0
59,4,593,91,0.866959,0.936508,0.090491,0.936508,0.909509,0.165035,0.872825,1.072962,0
59,4,592,92,0.865497,0.936508,0.09063,0.936508,0.90937,0.165266,0.871486,1.07461,0
59,4,591,93,0.864035,0.936508,0.090769,0.936508,0.909231,0.165498,0.870147,1.076264,0
59,4,590,94,0.862573,0.936508,0.090909,0.936508,0.909091,0.16573,0.868809,1.077922,0
59,4,589,95,0.861111,0.936508,0.091049,0.936508,0.908951,0.165963,0.86747,1.079586,0
59,4,588,96,0.859649,0.936508,0.09119,0.936508,0.90881,0.166197,0.866131,1.081254,0
59,4,587,97,0.858187,0.936508,0.091331,0.936508,0.908669,0.166432,0.864793,1.082928,0
59,4,586,98,0.856725,0.936508,0.091473,0.936508,0.908527,0.166667,0.863454,1.084607,0
59,4,585,99,0.855263,0.936508,0.091615,0.936508,0.908385,0.166902,0.862115,1.086291,0
59,4,584,100,0.853801,0.936508,0.091757,0.936508,0.908243,0.167139,0.860776,1.08798,0
59,4,583,101,0.852339,0.936508,0.0919,0.936508,0.9081,0.167376,0.859438,1.089675,0
59,4,582,102,0.850877,0.936508,0.092044,0.936508,0.907956,0.167614,0.858099,1.091375,0
59,4,581,103,0.849415,0.936508,0.092188,0.936508,0.907813,0.167852,0.85676,1.09308,0
59,4,580,104,0.847953,0.936508,0.092332,0.936508,0.907668,0.168091,0.855422,1.094791,0
59,4,579,105,0.846491,0.936508,0.092476,0.936508,0.907524,0.168331,0.854083,1.096507,0
59,4,578,106,0.845029,0.936508,0.092622,0.936508,0.907378,0.168571,0.852744,1.098228,0
59,4,577,107,0.843567,0.936508,0.092767,0.936508,0.907233,0.168813,0.851406,1.099955,0
59,4,576,108,0.842105,0.936508,0.092913,0.936508,0.907087,0.169054,0.850067,1.101687,0
59,4,575,109,0.840643,0.936508,0.09306,0.936508,0.90694,0.169297,0.848728,1.103425,0
59,4,574,110,0.839181,0.936508,0.093207,0.936508,0.906793,0.16954,0.84739,1.105168,0
59,4,573,111,0.837719,0.936508,0.093354,0.936508,0.906646,0.169784,0.846051,1.106917,0
59,4,572,112,0.836257,0.936508,0.093502,0.936508,0.906498,0.170029,0.844712,1.108671,0
59,4,571,113,0.834795,0.936508,0.093651,0.936508,0.906349,0.170274,0.843373,1.110431,0
59,4,570,114,0.833333,0.936508,0.0938,0.936508,0.9062,0.17052,0.842035,1.112196,0
59,4,569,115,0.831871,0.936508,0.093949,0.936508,0.906051,0.170767,0.840696,1.113967,0
59,4,568,116,0.830409,0.936508,0.094099,0.936508,0.905901,0.171014,0.839357,1.115744,0
59,4,567,117,0.828947,0.936508,0.094249,0.936508,0.905751,0.171263,0.838019,1.117526,0
59,4,566,118,0.827485,0.936508,0.0944,0.936508,0.9056,0.171512,0.83668,1.119314,0
59,4,565,119,0.826023,0.936508,0.094551,0.936508,0.905449,0.171761,0.835341,1.121108,0
59,4,564,120,0.824561,0.936508,0.094703,0.936508,0.905297,0.172012,0.834003,1.122908,0
59,4,563,121,0.823099,0.936508,0.094855,0.936508,0.905145,0.172263,0.832664,1.124713,0
59,4,562,122,0.821637,0.936508,0.095008,0.936508,0.904992,0.172515,0.831325,1.126524,0
59,4,561,123,0.820175,0.936508,0.095161,0.936508,0.904839,0.172767,0.829987,1.128341,0
59,4,560,124,0.818713,0.936508,0.095315,0.936508,0.904685,0.173021,0.828648,1.130164,0
59,4,559,125,0.817251,0.936508,0.095469,0.936508,0.904531,0.173275,0.827309,1.131993,0
59,4,558,126,0.815789,0.936508,0.095624,0.936508,0.904376,0.173529,0.825971,1.133827,0
59,4,557,127,0.814327,0.936508,0.095779,0.936508,0.904221,0.173785,0.824632,1.135668,0
59,4,556,128,0.812865,0.936508,0.095935,0.936508,0.904065,0.174041,0.823293,1.137515,0
59,4,555,129,0.811404,0.936508,0.096091,0.936508,0.903909,0.174298,0.821954,1.139367,0
59,4,554,130,0.809942,0.936508,0.096248,0.936508,0.903752,0.174556,0.820616,1.141226,0
59,4,553,131,0.80848,0.936508,0.096405,0.936508,0.903595,0.174815,0.819277,1.143091,0
59,4,552,132,0.807018,0.936508,0.096563,0.936508,0.903437,0.175074,0.817938,1.144961,0
59,4,551,133,0.805556,0.936508,0.096721,0.936508,0.903279,0.175334,0.8166,1.146838,0
59,4,550,134,0.804094,0.936508,0.09688,0.936508,0.90312,0.175595,0.815261,1.148722,0
59,4,549,135,0.802632,0.936508,0.097039,0.936508,0.902961,0.175857,0.813922,1.150611,0
59,4,548,136,0.80117,0.936508,0.097199,0.936508,0.902801,0.176119,0.812584,1.152506,0
59,4,547,137,0.799708,0.936508,0.09736,0.936508,0.90264,0.176383,0.811245,1.154408,0
59,4,546,138,0.798246,0.936508,0.097521,0.936508,0.902479,0.176647,0.809906,1.156316,0
59,4,545,139,0.796784,0.936508,0.097682,0.936508,0.902318,0.176912,0.808568,1.158231,0
59,4,544,140,0.795322,0.936508,0.097844,0.936508,0.902156,0.177177,0.807229,1.160152,0
59,4,543,141,0.79386,0.936508,0.098007,0.936508,0.901993,0.177444,0.80589,1.162079,0
59,4,542,142,0.792398,0.936508,0.09817,0.936508,0.90183,0.177711,0.804552,1.164012,0
59,4,541,143,0.790936,0.936508,0.098333,0.936508,0.901667,0.177979,0.803213,1.165952,0
59,4,540,144,0.789474,0.936508,0.098497,0.936508,0.901503,0.178248,0.801874,1.167899,0
59,4,539,145,0.788012,0.936508,0.098662,0.936508,0.901338,0.178517,0.800535,1.169852,0
59,4,538,146,0.78655,0.936508,0.098827,0.936508,0.901173,0.178788,0.799197,1.171811,0
59,4,537,147,0.785088,0.936508,0.098993,0.936508,0.901007,0.179059,0.797858,1.173778,0
59,4,536,148,0.783626,0.936508,0.09916,0.936508,0.90084,0.179331,0.796519,1.17575,0
59,4,535,149,0.782164,0.936508,0.099327,0.936508,0.900673,0.179604,0.795181,1.17773,0
59,4,534,150,0.780702,0.936508,0.099494,0.936508,0.900506,0.179878,0.793842,1.179716,0
59,4,533,151,0.77924,0.936508,0.099662,0.936508,0.900338,0.180153,0.792503,1.181708,0
59,4,532,152,0.777778,0.936508,0.099831,0.936508,0.900169,0.180428,0.791165,1.183708,0
59,4,531,153,0.776316,0.936508,0.1,0.936508,0.9,0.180704,0.789826,1.185714,0
59,4,530,154,0.774854,0.936508,0.10017,0.936508,0.89983,0.180982,0.788487,1.187727,0
59,4,529,155,0.773392,0.936508,0.10034,0.936508,0.89966,0.18126,0.787149,1.189747,0
59,4,528,156,0.77193,0.936508,0.100511,0.936508,0.899489,0.181538,0.78581,1.191774,0
59,4,527,157,0.770468,0.936508,0.100683,0.936508,0.899317,0.181818,0.784471,1.193808,0
59,4,526,158,0.769006,0.936508,0.100855,0.936508,0.899145,0.182099,0.783133,1.195849,0
59,4,525,159,0.767544,0.936508,0.101027,0.936508,0.898973,0.18238,0.781794,1.197896,0
59,4,524,160,0.766082,0.936508,0.101201,0.936508,0.898799,0.182663,0.780455,1.199951,0
58,5,524,160,0.766082,0.920635,0.099656,0.920635,0.900344,0.179845,0.779116,1.18164,0
58,5,523,161,0.76462,0.920635,0.099828,0.920635,0.900172,0.180124,0.777778,1.183673,0
58,5,522,162,0.763158,0.920635,0.1,0.920635,0.9,0.180404,0.776439,1.185714,0
58,5,521,163,0.761696,0.920635,0.100173,0.920635,0.899827,0.180685,0.7751,1.187762,0
58,5,520,164,0.760234,0.920635,0.100346,0.920635,0.899654,0.180967,0.773762,1.189817,0
58,5,519,165,0.758772,0.920635,0.10052,0.920635,0.89948,0.18125,0.772423,1.191879,0
58,5,518,166,0.75731,0.920635,0.100694,0.920635,0.899306,0.181534,0.771084,1.193948,0
58,5,517,167,0.755848,0.920635,0.10087,0.920635,0.89913,0.181818,0.769746,1.196025,0
58,5,516,168,0.754386,0.920635,0.101045,0.920635,0.898955,0.182104,0.768407,1.198109,0
58,5,515,169,0.752924,0.920635,0.101222,0.920635,0.898778,0.18239,0.767068,1.200199,0
58,5,514,170,0.751462,0.920635,0.101399,0.920635,0.898601,0.182677,0.76573,1.202298,0
58,5,513,171,0.75,0.920635,0.101576,0.920635,0.898424,0.182965,0.764391,1.204403,0
58,5,512,172,0.748538,0.920635,0.101754,0.920635,0.898246,0.183254,0.763052,1.206516,0
58,5,511,173,0.747076,0.920635,0.101933,0.920635,0.898067,0.183544,0.761714,1.208637,0
58,5,510,174,0.745614,0.920635,0.102113,0.920635,0.897887,0.183835,0.760375,1.210765,0
57,6,510,174,0.745614,0.904762,0.100529,0.904762,0.899471,0.180952,0.759036,1.191988,0
57,6,509,175,0.744152,0.904762,0.100707,0.904762,0.899293,0.18124,0.757697,1.194094,0
57,6,508,176,0.74269,0.904762,0.100885,0.904762,0.899115,0.181529,0.756359,1.196207,0
57,6,507,177,0.741228,0.904762,0.101064,0.904762,0.898936,0.181818,0.75502,1.198328,0
56,7,507,177,0.741228,0.888889,0.099467,0.888889,0.900533,0.178914,0.753681,1.179396,0
56,7,506,178,0.739766,0.888889,0.099644,0.888889,0.900356,0.1792,0.752343,1.181495,0.000001
56,7,505,179,0.738304,0.888889,0.099822,0.888889,0.900178,0.179487,0.751004,1.183601,0.000001
56,7,504,180,0.736842,0.888889,0.1,0.888889,0.9,0.179775,0.749665,1.185714,0.000001
56,7,503,181,0.73538,0.888889,0.100179,0.888889,0.899821,0.180064,0.748327,1.187835,0.000001
56,7,502,182,0.733918,0.888889,0.100358,0.888889,0.899642,0.180354,0.746988,1.189964,0.000001
56,7,501,183,0.732456,0.888889,0.100539,0.888889,0.899461,0.180645,0.745649,1.192101,0.000001
56,7,500,184,0.730994,0.888889,0.100719,0.888889,0.899281,0.180937,0.744311,1.194245,0.000001
55,8,500,184,0.730994,0.873016,0.099099,0.873016,0.900901,0.177994,0.742972,1.175032,0.000001
55,8,499,185,0.729532,0.873016,0.099278,0.873016,0.900722,0.178282,0.741633,1.177153,0.000001
55,8,498,186,0.72807,0.873016,0.099458,0.873016,0.900542,0.178571,0.740295,1.179282,0.000001
55,8,497,187,0.726608,0.873016,0.099638,0.873016,0.900362,0.178862,0.738956,1.181418,0.000001
55,8,496,188,0.725146,0.873016,0.099819,0.873016,0.900181,0.179153,0.737617,1.183562,0.000001
54,9,496,188,0.725146,0.857143,0.098182,0.857143,0.901818,0.176183,0.736278,1.164156,0.000001
54,9,495,189,0.723684,0.857143,0.098361,0.857143,0.901639,0.176471,0.73494,1.166276,0.000001
54,9,494,190,0.722222,0.857143,0.09854,0.857143,0.90146,0.176759,0.733601,1.168405,0.000001
53,10,494,190,0.722222,0.84127,0.096892,0.84127,0.903108,0.17377,0.732262,1.148864,0.000001
53,10,493,191,0.72076,0.84127,0.09707,0.84127,0.90293,0.174056,0.730924,1.150968,0.000001
53,10,492,192,0.719298,0.84127,0.097248,0.84127,0.902752,0.174342,0.729585,1.15308,0.000001
53,10,491,193,0.717836,0.84127,0.097426,0.84127,0.902574,0.174629,0.728246,1.1552,0.000001
53,10,490,194,0.716374,0.84127,0.097606,0.84127,0.902394,0.174917,0.726908,1.157327,0.000001
52,11,490,194,0.716374,0.825397,0.095941,0.825397,0.904059,0.171901,0.725569,1.137586,0.000001
52,11,489,195,0.714912,0.825397,0.096118,0.825397,0.903882,0.172185,0.72423,1.139688,0.000001
52,11,488,196,0.71345,0.825397,0.096296,0.825397,0.903704,0.172471,0.722892,1.141799,0.000001
52,11,487,197,0.711988,0.825397,0.096475,0.825397,0.903525,0.172757,0.721553,1.143917,0.000001
52,11,486,198,0.710526,0.825397,0.096654,0.825397,0.903346,0.173045,0.720214,1.146044,0.000001
52,11,485,199,0.709064,0.825397,0.096834,0.825397,0.903166,0.173333,0.718876,1.148178,0.000001
52,11,484,200,0.707602,0.825397,0.097015,0.825397,0.902985,0.173623,0.717537,1.15032,0.000001
52,11,483,201,0.70614,0.825397,0.097196,0.825397,0.902804,0.173913,0.716198,1.15247,0.000001
52,11,482,202,0.704678,0.825397,0.097378,0.825397,0.902622,0.174204,0.714859,1.154628,0.000001
52,11,481,203,0.703216,0.825397,0.097561,0.825397,0.902439,0.174497,0.713521,1.156794,0.000001
52,11,480,204,0.701754,0.825397,0.097744,0.825397,0.902256,0.17479,0.712182,1.158969,0.000001
52,11,479,205,0.700292,0.825397,0.097928,0.825397,0.902072,0.175084,0.710843,1.161151,0.000001
52,11,478,206,0.69883,0.825397,0.098113,0.825397,0.901887,0.175379,0.709505,1.163342,0.000001
52,11,477,207,0.697368,0.825397,0.098299,0.825397,0.901701,0.175676,0.708166,1.165541,0.000001
52,11,476,208,0.695906,0.825397,0.098485,0.825397,0.901515,0.175973,0.706827,1.167749,0.000001
52,11,475,209,0.694444,0.825397,0.098672,0.825397,0.901328,0.176271,0.705489,1.169965,0.000001
52,11,474,210,0.692982,0.825397,0.098859,0.825397,0.901141,0.17657,0.70415,1.172189,0.000001
52,11,473,211,0.69152,0.825397,0.099048,0.825397,0.900952,0.176871,0.702811,1.174422,0.000001
52,11,472,212,0.690058,0.825397,0.099237,0.825397,0.900763,0.177172,0.701473,1.176663,0.000001
52,11,471,213,0.688596,0.825397,0.099426,0.825397,0.900574,0.177474,0.700134,1.178913,0.000001
52,11,470,214,0.687135,0.825397,0.099617,0.825397,0.900383,0.177778,0.698795,1.181171,0.000001
52,11,469,215,0.685673,0.825397,0.099808,0.825397,0.900192,0.178082,0.697456,1.183438,0.000002
52,11,468,216,0.684211,0.825397,0.1,0.825397,0.9,0.178388,0.696118,1.185714,0.000002
52,11,467,217,0.682749,0.825397,0.100193,0.825397,0.899807,0.178694,0.694779,1.187999,0.000002
52,11,466,218,0.681287,0.825397,0.100386,0.825397,0.899614,0.179002,0.69344,1.190292,0.000002
